Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
122417,2020-08-03 05:48:02,4587577161160601,"fraud_Olson, Becker and Koch",gas_transport,60.78,Tina,Lawrence,F,12444 Jacob Pines,Nobleboro,ME,4555,44.0943,-69.4828,1643,Financial trader,1976-04-12,d6a8385af6b5cd36a59493f810da48ff,1375508882,43.684122,-69.869752,0
118004,2020-08-01 22:22:55,3595192916105588,"fraud_Douglas, Schneider and Turner",shopping_pos,1.12,Dustin,Roberts,M,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",1993-05-14,e3cb865ae3037690c74ae769f9ee35c6,1375395775,34.23383,-79.60873000000001,0
216606,2020-09-06 11:38:23,3501365119557234,fraud_Sawayn PLC,shopping_pos,336.84,Danielle,Allen,F,87198 Macias Drive Suite 389,Loving,NM,88256,32.274,-104.0914,1925,Educational psychologist,1952-05-26,826f9ea84e7ce2136ac16a3b68a46246,1378467503,32.828367,-103.168977,0
172437,2020-08-20 18:36:59,4826655832045236,fraud_Frami Group,entertainment,24.36,Tami,Forbes,F,5204 Robinson Plaza Suite 897,Barnstable,MA,2630,41.6983,-70.3001,1850,Counselling psychologist,1963-12-29,6d63688a2faafa584ab1efd69fe9a455,1377023819,42.628292,-69.854383,0
149843,2020-08-12 05:09:15,4764202053279782,fraud_Huels-Hahn,gas_transport,79.72,Derek,Jones,M,198 Candace Plaza,Diamond,OH,44412,41.0935,-81.0425,2644,Air cabin crew,1981-01-06,a2d580641e29bd1633348ee2fd1c2d0b,1376284155,41.719854,-80.521191,0
337683,2020-10-28 17:38:16,180072527505094,fraud_Rolfson-Kunde,personal_care,19.88,Cody,Miller,M,25748 John Wells,Mooresville,NC,28117,35.584,-80.8685,69793,Control and instrumentation engineer,1953-12-08,5878cefcefce146ccffdcaccafd27148,1382981896,35.057905,-81.20107900000001,0
146662,2020-08-11 07:39:03,180094419304907,fraud_Dickinson-Rempel,misc_pos,139.11,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,044949297a4d77639ece312391a48dd8,1376206743,33.143006,-116.368308,0
138723,2020-08-09 04:29:27,4424338559877976,"fraud_Kerluke, Kertzmann and Wiza",misc_net,59.71,Denise,Barnett,F,23220 Eaton Harbors,Kirby,OH,43330,40.813,-83.4196,118,Private music teacher,1957-11-12,80885ce1f6c7c4ebf7e5a3dc69b5bcb1,1376022567,40.806796000000006,-84.33295600000001,0
238830,2020-09-15 09:55:32,4344955088481397,fraud_Pouros-Conroy,shopping_pos,147.34,Christopher,Rodgers,M,30587 Fox Shores Apt. 627,Fenelton,PA,16034,40.8555,-79.7372,2054,Communications engineer,1976-09-29,b6532aeb3b9c30b7936fef30787cbc81,1379238932,41.527485,-79.280231,0
355690,2020-11-06 00:40:37,30491348102802,fraud_Kunze Inc,grocery_pos,314.07,Tommy,Dixon,M,8829 Steele Station,Dresden,KS,67635,39.6094,-100.4112,169,"Librarian, public",1953-07-30,936045ea288cf080e578189ef364ec42,1383698437,40.470395,-100.031409,1
377649,2020-11-15 19:46:44,6011860238257910,fraud_Rolfson-Kunde,personal_care,55.68,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1952-07-06,a9d92efd7a374d6253e205a1976ab8fc,1384544804,35.526964,-98.409675,0
26379,2020-06-30 01:32:44,4761403817546679245,fraud_Kerluke PLC,misc_net,795.07,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,72613d844481e8c44ac275c685bff23f,1372555964,36.52083,-92.26128,1
